lake,water_body,date_collect,station_num,sample_num,station_descr,latitude,longitude
erie,,1992-11-30,20140004.0,238469,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-12-07,20140004.0,238470,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-12-14,20140004.0,238471,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-12-21,20140004.0,238472,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1992-12-29,20140004.0,238473,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-01-04,20140004.0,238474,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-01-11,20140004.0,238475,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-01-18,20140004.0,238476,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-01-25,20140004.0,238477,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-02-01,20140004.0,238478,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-02-08,20140004.0,238479,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-02-15,20140004.0,238480,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-02-22,20140004.0,238481,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-03-01,20140004.0,238482,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-03-08,20140004.0,238483,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-03-15,20140004.0,238484,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-03-22,20140004.0,238485,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-03-29,20140004.0,238486,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-04-05,20140004.0,238487,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
erie,,1993-04-13,20140004.0,238488,AMHERSTBURG WATER TREATMENT PLANT,42.088387100000006,-83.1087807
